country_code,subdivision_name,code,country_name,combined_name,location_normalized,latitude,longitude,place_id
AZ,Naxcivan,AZ-NX,Azerbaijan,"Naxcivan, Azerbaijan",Nakhchivan Autonomous Republic,39.2009126,45.4082269,ChIJpQ7RB3MuFEARvbKafcBP17w
AZ,Neftcala,AZ-NEF,Azerbaijan,"Neftcala, Azerbaijan",Neftchala,39.3881052,49.2413743,ChIJ0afvFailJEARevZdkmr5-Y8
AZ,Oguz,AZ-OGU,Azerbaijan,"Oguz, Azerbaijan",Republic of Dagestan,41.0199661,47.467423,ChIJXZjp5ydtOEARIytiZg-Mt_Y
AZ,Qabala,AZ-QAB,Azerbaijan,"Qabala, Azerbaijan",Qabala,40.9981633,47.8699826,ChIJByNpcIZIOEARrLjJFUnUq1g
AZ,Qax,AZ-QAX,Azerbaijan,"Qax, Azerbaijan",Qakh,41.4206827,46.9320184,ChIJGSbrjdu9R0ARDRQZwrsAIIs
AZ,Qazax,AZ-QAZ,Azerbaijan,"Qazax, Azerbaijan",Gazakh,41.0971074,45.3516331,ChIJNb4FvK0lQUARoqAphNHROv0
AZ,Quba,AZ-QBA,Azerbaijan,"Quba, Azerbaijan",Quba,41.3643024,48.5260928,ChIJTxDR0f2VN0ARjSLJoAXOck0
AZ,Qusar,AZ-QUS,Azerbaijan,"Qusar, Azerbaijan",Qusar,41.4266886,48.4345577,ChIJcXalUhnAN0ARylMUur4KvLM
AZ,Sabirabad,AZ-SAB,Azerbaijan,"Sabirabad, Azerbaijan",Sabirabad,39.9870663,48.4692545,ChIJL8iopmW9O0ARR4Mv1HMBGLY
AZ,Saki,AZ-SAK,Azerbaijan,"Saki, Azerbaijan",Shaki District,41.1974753,47.1571241,ChIJOavewsaHR0ARTJ8mOt92cKU
AZ,Salyan,AZ-SAL,Azerbaijan,"Salyan, Azerbaijan",Salyan,39.5779145,48.9718588,ChIJfQUXqgxFO0AR24JpvvasF3I
AZ,Samaxi,AZ-SMI,Azerbaijan,"Samaxi, Azerbaijan",Shamakhi,40.6318731,48.6363801,ChIJB8-HkwnzOUAR2rPPtm_NGrw
AZ,Samkir,AZ-SKR,Azerbaijan,"Samkir, Azerbaijan",Shamkir,40.8288144,46.0166879,ChIJGSx3IkWwQEARYy5rVQ8N8OQ
AZ,Samux,AZ-SMX,Azerbaijan,"Samux, Azerbaijan",Samukh,40.7604631,46.4063181,ChIJy7VFUMxUP0AR5DR8thkdpbU
AZ,Sirvan,AZ-SR,Azerbaijan,"Sirvan, Azerbaijan",Şirvan,39.9265747,48.9205727,ChIJt0xFofsFO0ARAMi5T6eun0s
AZ,Siyazan,AZ-SIY,Azerbaijan,"Siyazan, Azerbaijan",Siyazan,41.0843196,49.0890201,ChIJLXtWjToVN0ARcPgEMAliHXc
AZ,Sumqayit,AZ-SM,Azerbaijan,"Sumqayit, Azerbaijan",Sumqayit,40.5854765,49.6317411,ChIJaz-S0NyWMEARcSoyacNnR98
AZ,Tovuz,AZ-TOV,Azerbaijan,"Tovuz, Azerbaijan",Tovuz,40.9954523,45.6165907,ChIJtwUnE33aQEAR7DnB23g5_h4
AZ,Xacmaz,AZ-XAC,Azerbaijan,"Xacmaz, Azerbaijan",Khachmaz,41.4591168,48.8020626,ChIJF-nqRmCxN0ARonZh1mPrySw
AZ,Xizi,AZ-XIZ,Azerbaijan,"Xizi, Azerbaijan",Khizi,40.9109489,49.0729264,ChIJb7adpg5FN0AR8JKFS3EJlTI
AZ,Yardimli,AZ-YAR,Azerbaijan,"Yardimli, Azerbaijan",Ardabil Province,38.9065776,48.2431799,ChIJc6T4xMnEIkARPewcFCoJcF8
