Active,Admin2,Confirmed,Country_Region,Date,Deaths,FIPS,Lat,Long_,Recovered,﻿Province/State
,,13,US,2020-03-13,0,,40.388783,-82.764915,0,Ohio
,,2,US,2020-03-13,0,,35.565342,-96.928917,0,Oklahoma
,,30,US,2020-03-13,0,,44.572021,-122.070938,0,Oregon
,,41,US,2020-03-13,0,,40.590752,-77.209755,0,Pennsylvania
,,14,US,2020-03-13,0,,41.680893,-71.51178,0,Rhode Island
,,13,US,2020-03-13,0,,33.856892,-80.945007,0,South Carolina
,,8,US,2020-03-13,1,,44.299782,-99.438828,0,South Dakota
,,26,US,2020-03-13,0,,35.747845,-86.692345,0,Tennessee
,,43,US,2020-03-13,0,,31.054487,-97.563461,0,Texas
,,9,US,2020-03-13,0,,40.150032,-111.862434,0,Utah
,,2,US,2020-03-13,0,,44.045876,-72.710686,0,Vermont
,,30,US,2020-03-13,0,,37.769337,-78.169968,0,Virginia
,,568,US,2020-03-13,37,,47.400902,-121.490494,1,Washington
,,0,US,2020-03-13,0,,38.491226,-80.954453,0,West Virginia
,,19,US,2020-03-13,0,,44.268543,-89.616508,1,Wisconsin
,,1,US,2020-03-13,0,,42.755966,-107.30249,0,Wyoming
,,47,Vietnam,2020-03-13,0,,14.0583,108.2772,16,
,,1,Mongolia,2020-03-13,0,,46.8625,103.8467,0,
,,8,Jamaica,2020-03-13,0,,18.1096,-77.2975,0,
,,7,Afghanistan,2020-03-13,0,,33.0,65.0,0,
,,2,Monaco,2020-03-13,0,,43.7333,7.4167,0,
,,1,Liechtenstein,2020-03-13,0,,47.14,9.55,0,
,,1,Guyana,2020-03-13,1,,5.0,-58.75,0,
,,50,Taiwan*,2020-03-13,1,,23.7,121.0,20,
